customer_Id,DOB,Gender,city_code,transaction_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,prod_cat,prod_subcat
268408,1970-01-02,M,4.0,87243835584,2014-01-13,7,5,5,187,98.175,1033.175,TeleShop,Books,Fiction
275152,1970-01-16,M,4.0,73109425404,2011-03-25,7,5,2,464,97.44,1025.44,e-Shop,Books,Fiction
275034,1970-01-18,F,4.0,64777271023,2011-05-23,7,5,2,197,41.37,435.37,Flagship store,Books,Fiction
270829,1970-01-22,F,8.0,87174343938,2013-12-09,7,5,4,1141,479.22,5043.22,e-Shop,Books,Fiction
267657,1970-01-29,F,7.0,76242744953,2013-05-23,7,5,4,1020,428.4,4508.4,e-Shop,Books,Fiction
274630,1970-02-01,M,4.0,78357345891,2012-04-11,7,5,1,646,67.83,713.83,TeleShop,Books,Fiction
273541,1970-02-01,M,4.0,23916816961,2013-02-09,7,5,4,410,172.2,1812.2,e-Shop,Books,Fiction
269008,1970-02-13,F,6.0,35560569829,2013-03-09,7,5,1,1441,151.305,1592.305,e-Shop,Books,Fiction
269008,1970-02-13,F,6.0,94033312891,2012-04-26,7,5,5,746,391.65,4121.65,MBR,Books,Fiction
272883,1970-02-19,M,5.0,35308880657,2013-12-01,7,5,-4,-1161,487.62,-5131.62,TeleShop,Books,Fiction
272883,1970-02-19,M,5.0,35308880657,2013-11-26,7,5,4,1161,487.62,5131.62,TeleShop,Books,Fiction
272028,1970-02-20,F,1.0,30629366844,2014-01-08,7,5,4,256,107.52,1131.52,Flagship store,Books,Fiction
274717,1970-02-21,M,7.0,14513789408,2011-11-24,7,5,2,791,166.11,1748.11,e-Shop,Books,Fiction
272821,1970-03-17,F,3.0,87002355611,2013-01-12,7,5,2,781,164.01,1726.01,e-Shop,Books,Fiction
267379,1970-03-21,F,2.0,18331140958,2014-01-04,7,5,-1,-842,88.41,-930.41,TeleShop,Books,Fiction
267379,1970-03-21,F,2.0,18331140958,2014-01-02,7,5,1,842,88.41,930.41,TeleShop,Books,Fiction
270450,1970-04-24,F,3.0,28886882858,2011-02-21,7,5,2,1103,231.63,2437.63,TeleShop,Books,Fiction
272555,1970-05-03,M,1.0,71976180879,2013-11-16,7,5,2,1432,300.72,3164.72,Flagship store,Books,Fiction
268732,1970-05-06,M,2.0,5016742567,2013-09-27,7,5,2,319,66.99,704.99,TeleShop,Books,Fiction
267529,1970-05-09,M,4.0,99445710252,2011-11-15,7,5,5,1121,588.525,6193.525,TeleShop,Books,Fiction
267386,1970-05-15,M,7.0,85733420406,2013-01-26,7,5,3,745,234.675,2469.675,TeleShop,Books,Fiction
274849,1970-06-09,M,4.0,91064381796,2013-12-11,7,5,-3,-735,231.525,-2436.525,TeleShop,Books,Fiction
274849,1970-06-09,M,4.0,91064381796,2013-12-10,7,5,3,735,231.525,2436.525,TeleShop,Books,Fiction
270047,1970-06-10,M,1.0,85422031277,2012-12-20,7,5,3,1084,341.46,3593.46,MBR,Books,Fiction
268313,1970-06-11,F,8.0,76282099255,2013-07-17,7,5,2,698,146.58,1542.58,e-Shop,Books,Fiction
268313,1970-06-11,F,8.0,29141012215,2012-03-25,7,5,3,842,265.23,2791.23,TeleShop,Books,Fiction
270933,1970-06-15,M,8.0,89568506224,2012-04-11,7,5,5,649,340.725,3585.725,MBR,Books,Fiction
273162,1970-06-19,M,8.0,95883626215,2011-12-29,7,5,2,1474,309.54,3257.54,e-Shop,Books,Fiction
272926,1970-07-11,F,4.0,37533052827,2012-12-30,7,5,3,927,292.005,3073.005,e-Shop,Books,Fiction
270678,1970-08-06,F,4.0,75980673312,2014-02-17,7,5,4,1377,578.34,6086.34,TeleShop,Books,Fiction
269449,1970-08-09,M,6.0,27530780794,2013-05-24,7,5,1,1460,153.3,1613.3,e-Shop,Books,Fiction
269449,1970-08-09,M,6.0,1252134827,2011-04-27,7,5,2,310,65.1,685.1,Flagship store,Books,Fiction
269825,1970-08-21,M,4.0,75082533512,2011-11-23,7,5,3,1480,466.2,4906.2,TeleShop,Books,Fiction
267536,1970-09-10,M,3.0,35015407461,2012-05-17,7,5,1,76,7.98,83.98,MBR,Books,Fiction
267424,1970-09-22,M,7.0,11593079001,2012-05-06,7,5,1,1043,109.515,1152.515,Flagship store,Books,Fiction
274232,1970-09-26,F,5.0,97009074448,2012-11-19,7,5,2,487,102.27,1076.27,MBR,Books,Fiction
269235,1970-10-22,F,4.0,85861933577,2012-10-10,7,5,-1,-234,24.57,-258.57,e-Shop,Books,Fiction
269235,1970-10-22,F,4.0,85861933577,2012-10-06,7,5,-1,-234,24.57,-258.57,e-Shop,Books,Fiction
269235,1970-10-22,F,4.0,85861933577,2012-10-02,7,5,1,234,24.57,258.57,e-Shop,Books,Fiction
274493,1970-11-19,M,5.0,4740594593,2013-11-14,7,5,2,314,65.94,693.94,TeleShop,Books,Fiction
269867,1970-12-17,F,1.0,52294334880,2011-11-13,7,5,4,1282,538.44,5666.44,MBR,Books,Fiction
270218,1970-12-18,F,8.0,24598737782,2013-07-27,7,5,2,1488,312.48,3288.48,TeleShop,Books,Fiction
272117,1970-12-19,M,10.0,49035977747,2013-10-17,7,5,4,1020,428.4,4508.4,TeleShop,Books,Fiction
272497,1971-03-01,M,10.0,61593722890,2013-09-12,7,5,1,1262,132.51,1394.51,TeleShop,Books,Fiction
275172,1971-03-16,F,1.0,66587656515,2011-03-22,7,5,3,397,125.055,1316.055,MBR,Books,Fiction
272940,1971-03-25,F,1.0,6119819171,2013-07-26,7,5,1,963,101.115,1064.115,TeleShop,Books,Fiction
267350,1971-04-01,F,9.0,73203487320,2011-02-14,7,5,4,412,173.04,1821.04,Flagship store,Books,Fiction
270002,1971-04-08,M,7.0,94737296334,2011-03-14,7,5,2,870,182.7,1922.7,TeleShop,Books,Fiction
268500,1971-04-13,F,7.0,92809355884,2012-06-12,7,5,2,130,27.3,287.3,e-Shop,Books,Fiction
267032,1971-04-21,F,4.0,86546883501,2012-10-24,7,5,-1,-648,68.04,-716.04,TeleShop,Books,Fiction
267032,1971-04-21,F,4.0,86546883501,2012-10-20,7,5,1,648,68.04,716.04,TeleShop,Books,Fiction
267078,1971-04-22,M,5.0,34088369445,2013-11-26,7,5,3,588,185.22,1949.22,e-Shop,Books,Fiction
274960,1971-04-24,F,9.0,89701436,2011-04-02,7,5,4,1111,466.62,4910.62,e-Shop,Books,Fiction
268909,1971-05-01,M,2.0,50802883830,2012-02-22,7,5,2,810,170.1,1790.1,TeleShop,Books,Fiction
274092,1971-05-10,M,9.0,9268189150,2011-09-01,7,5,4,1145,480.9,5060.9,MBR,Books,Fiction
274008,1971-05-11,M,6.0,11654377978,2013-05-22,7,5,4,858,360.36,3792.36,e-Shop,Books,Fiction
269245,1971-05-20,M,4.0,18489183515,2013-03-22,7,5,3,308,97.02,1021.02,e-Shop,Books,Fiction
